ProductID,UserID,Rating,Text,Clean_Text,Polarity of Feedback
777,AV1YnR7wglJLPUi8IJmi,4,Great taffy at a great price.,"['Great', 'taffy', 'great', 'price', '.']",0.8
767,AVpfpK8KLJeJML43BCuD,4,Absolutely wonderful - silky and sexy and comfortable,"['Absolutely', 'wonderful', '-', 'silky', 'sexy', 'comfortable']",0.6333333333333333
1080,AVqkIdntQMlgsOJE6fuB,5,Love this dress! it's sooo pretty.,"['Love', 'dress', '!', ""'s"", 'sooo', 'pretty', '.']",0.4375
1077,AVpfpK8KLJeJML43BCuD,3,I had such high hopes for this dress and really wanted it to work for me.,"['I', 'high', 'hopes', 'dress', 'really', 'wanted', 'work', '.']",0.18
1049,AVpfpK8KLJeJML43BCuD,5,"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!","['I', 'love', ',', 'love', ',', 'love', 'jumpsuit', '.', ""'s"", 'fun', ',', 'flirty', ',', 'fabulous', '!', 'every', 'time', 'wear', ',', 'get', 'nothing', 'great', 'compliments', '!']",0.5499999999999999
847,AVph0EeEilAPnD_x9myq,5,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,"['This', 'shirt', 'flattering', 'due', 'adjustable', 'front', 'tie', '.', 'perfect', 'length', 'wear', 'leggings', 'sleeveless', 'pairs', 'well', 'cardigan', '.', 'love', 'shirt', '!', '!', '!']",0.6171875
1080,AVph0EeEilAPnD_x9myq,2,I used this product only once and found its not worth nor its helpful.,"['I', 'used', 'product', 'found', 'worth', 'helpful', '.']",0.3
858,AVph0EeEilAPnD_x9myq,1,Just horrible at trimming body hair.,"['Just', 'horrible', 'trimming', 'body', 'hair', '.']",-1.0
858,AVph0EeEilAPnD_x9myq,0,I suggested not to buy.,"['I', 'suggested', 'buy', '.']",0.0
1077,AVph0EeEilAPnD_x9myq,5,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,"['I', 'love', 'dress', '.', 'usually', 'get', 'xs', 'runs', 'little', 'snug', 'bust', 'ordered', 'size', '.', 'flattering', 'feminine', 'usual', 'retailer', 'flair', 'style', '.']",-0.046875
1077,AVph0EeEilAPnD_x9myq,1,Quality was too bad.,"['Quality', 'bad', '.']",-0.6999999999999998
1077,AVph0EeEilAPnD_x9myq,3,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight!,"['Dress', 'runs', 'small', 'esp', 'zipper', 'area', 'runs', '.', 'ordered', 'sp', 'typically', 'fits', 'tight', '!']",-0.21329365079365079
1095,AVpfpK8KLJeJML43BCuD,5,This dress is perfection! so pretty and flattering.,"['This', 'dress', 'perfection', '!', 'pretty', 'flattering', '.']",0.25
1095,AVpfpK8KLJeJML43BCuD,1,Average quality of fabric poor stitching and poor finishing!,"['Average', 'quality', 'fabric', 'poor', 'stitching', 'poor', 'finishing', '!']",-0.35000000000000003
